"currSession","currTask","currTrial","stimulus","response","correctResponse","responseTime","sessionNum","round","picType","predictType","age","language","gender","device","intention","comments","pairsCombo","encodeSequence","fillerCombo","predictTestSequence","memoryTestSequence"
"encodePictures","practice","0","large10","no response detected","j","0","1","1","","","","","","","","","","","","",""
"encodePictures","practice","1","large6","no response detected","j","0","1","1","","","","","","","","","","","","",""
"encodePictures","practice","2","large1","j","j","466","1","1","","","","","","","","","","","","",""
"encodePictures","practice","3","large8","j","j","570","1","1","","","","","","","","","","","","",""
"encodePictures","practice","4","small1","k","k","476","1","1","","","","","","","","","","","","",""
"encodePictures","practice","5","small3","k","k","504","1","1","","","","","","","","","","","","",""
"encodePictures","practice","6","large3","j","j","513","1","1","","","","","","","","","","","","",""
"encodePictures","practice","7","small6","j","k","434","1","1","","","","","","","","","","","","",""
"encodePictures","practice","8","large5","j","j","524","1","1","","","","","","","","","","","","",""
"encodePictures","practice","9","small2","k","k","535","1","1","","","","","","","","","","","","",""
"encodePictures","practice","10","small10","k","k","509","1","1","","","","","","","","","","","","",""
"encodePictures","practice","11","small4","j","k","425","1","1","","","","","","","","","","","","",""
"encodePictures","practice","12","small5","k","k","723","1","1","","","","","","","","","","","","",""
"encodePictures","practice","13","small8","no response detected","k","0","1","1","","","","","","","","","","","","",""
"encodePictures","practice","14","large7","j","j","562","1","1","","","","","","","","","","","","",""
"encodePictures","practice","15","large2","j","j","585","1","1","","","","","","","","","","","","",""
"encodePictures","practice","16","small9","j","k","745","1","1","","","","","","","","","","","","",""
"encodePictures","practice","17","small7","k","k","727","1","1","","","","","","","","","","","","",""
"encodePictures","practice","18","large4","j","j","545","1","1","","","","","","","","","","","","",""
"encodePictures","practice","19","large9","j","j","719","1","1","","","","","","","","","","","","",""
"encodePictures","practice","0","large4","j","j","393","1","2","","","","","","","","","","","","",""
"encodePictures","practice","1","large7","j","j","424","1","2","","","","","","","","","","","","",""
"encodePictures","practice","2","large2","j","j","452","1","2","","","","","","","","","","","","",""
"encodePictures","practice","3","large1","j","j","437","1","2","","","","","","","","","","","","",""
"encodePictures","practice","4","small6","j","k","656","1","2","","","","","","","","","","","","",""
"encodePictures","practice","5","small2","k","k","515","1","2","","","","","","","","","","","","",""
"encodePictures","practice","6","large3","j","j","514","1","2","","","","","","","","","","","","",""
"encodePictures","practice","7","small4","k","k","700","1","2","","","","","","","","","","","","",""
"encodePictures","practice","8","large8","j","j","551","1","2","","","","","","","","","","","","",""
"encodePictures","practice","9","small8","k","k","532","1","2","","","","","","","","","","","","",""
"encodePictures","practice","10","small3","k","k","434","1","2","","","","","","","","","","","","",""
"encodePictures","practice","11","large6","j","j","434","1","2","","","","","","","","","","","","",""
"encodePictures","practice","12","small5","k","k","515","1","2","","","","","","","","","","","","",""
"encodePictures","practice","13","large9","j","j","713","1","2","","","","","","","","","","","","",""
"encodePictures","practice","14","large10","j","j","686","1","2","","","","","","","","","","","","",""
"encodePictures","practice","15","small7","k","k","631","1","2","","","","","","","","","","","","",""
"encodePictures","practice","16","small9","k","k","836","1","2","","","","","","","","","","","","",""
"encodePictures","practice","17","large5","j","j","625","1","2","","","","","","","","","","","","",""
"encodePictures","practice","18","small10","k","k","524","1","2","","","","","","","","","","","","",""
"encodePictures","practice","19","small1","k","k","509","1","2","","","","","","","","","","","","",""
"encodePictures","encodePictures","0","a4_27","j","j","585","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","1","a4_16","no response detected","j","0","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","2","c2_21","k","k","580","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","3","c4_4","j","j","542","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","4","a2_27","k","k","563","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","5","a3_8","j","j","681","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","6","c2_2","k","k","483","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","7","c4_15","j","j","597","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","8","d4_17","j","j","540","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","9","a1_3","k","k","456","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","10","c3_8","j","j","501","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","11","b1_27","k","k","581","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","12","a2_18","k","k","560","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","13","d1_23","k","k","995","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","14","d3_27","j","j","536","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","15","d2_5","k","k","806","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","16","b2_8","j","k","659","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","17","c1_25","k","k","685","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","18","d1_24","j","k","717","1","","","","","","","","","","","","","",""
