"currSession","currTask","currTrial","stimulus","response","correctResponse","responseTime","sessionNum","round","picType","predictType","age","language","gender","device","intention","comments","pairsCombo","encodeSequence","fillerCombo","predictTestSequence","memoryTestSequence"
"encodePictures","encodePictures","19","a2_12","k","k","665","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","20","c3_10","j","j","733","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","21","b1_9","k","k","998","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","22","b2_14","j","k","853","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","23","c1_27","k","k","811","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","24","b3_28","j","j","565","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","25","b4_26","j","j","539","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","26","a1_4","k","k","561","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","27","d1_29","j","k","571","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","28","d1_16","j","k","605","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","29","a1_9","k","k","523","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","30","a3_15","j","j","767","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","31","d3_3","j","j","556","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","32","d3_12","j","j","425","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","33","b3_14","j","j","533","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","34","b4_28","j","j","643","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","35","c3_22","j","j","568","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","36","b1_10","k","k","477","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","37","a4_22","j","j","614","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","38","c2_25","k","k","509","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","39","c4_20","j","j","579","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","40","c3_23","j","j","520","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","41","b1_6","k","k","474","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","42","a1_14","k","k","540","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","43","d4_27","j","j","481","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","44","a4_9","j","j","535","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","45","b3_12","j","j","465","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","46","b4_25","j","j","448","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","47","c2_26","k","k","585","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","48","c4_28","j","j","457","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","49","d3_19","j","j","526","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","50","d2_7","j","k","666","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","51","d4_8","j","j","499","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","52","b2_19","j","k","952","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","53","c1_8","no response detected","k","0","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","54","d2_18","j","k","497","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","55","a3_1","j","j","524","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","56","b3_24","j","j","466","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","57","b4_8","no response detected","j","0","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","58","b2_6","k","k","623","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","59","c1_29","k","k","605","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","60","d4_14","j","j","460","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","61","a3_29","k","j","435","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","62","d2_28","k","k","599","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","63","a2_2","k","k","600","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","64","b2_12","k","k","712","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","65","c1_7","k","k","633","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","66","a1_18","k","k","753","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","67","d3_13","j","j","556","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","68","a1_1","k","k","572","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","69","b2_10","no response detected","k","0","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","70","c1_5","k","k","697","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","71","d2_15","k","k","724","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","72","b3_8","j","j","778","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","73","b4_15","j","j","633","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","74","c2_30","k","k","602","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","75","c4_12","j","j","606","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","76","b2_2","j","k","839","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","77","c1_18","k","k","871","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","78","d2_17","k","k","794","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","79","d1_14","no response detected","k","0","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","80","b2_16","k","k","785","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","81","c1_26","k","k","574","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","82","d4_5","j","j","503","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","83","c3_17","j","j","524","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","84","b1_12","k","k","806","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","85","c2_9","k","k","518","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","86","c4_8","j","j","607","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","87","b3_26","j","j","495","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","88","b4_7","j","j","547","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","89","a3_25","j","j","696","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","90","c2_22","k","k","538","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","91","c4_13","j","j","578","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","92","a4_28","j","j","734","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","93","d2_19","k","k","736","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","94","d4_7","j","j","569","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","95","a3_17","j","j","598","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","96","a1_12","k","k","567","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","97","a4_24","j","j","580","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","98","d3_17","j","j","609","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","99","a3_27","j","j","676","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","100","c3_24","j","j","620","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","101","b1_4","k","k","578","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","102","b3_4","j","j","586","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","103","b4_29","j","j","645","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","104","a2_13","k","k","638","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","105","d3_15","j","j","665","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","106","a2_28","k","k","572","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","107","a2_29","k","k","464","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","108","d1_25","k","k","696","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","109","c3_7","j","j","523","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","110","b1_20","k","k","506","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","111","c2_17","k","k","539","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","112","c4_26","j","j","472","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","113","a3_9","j","j","505","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","114","a4_14","j","j","546","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","115","d1_9","k","k","568","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","116","d1_5","k","k","509","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","117","d4_4","j","j","460","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","118","d3_11","j","j","490","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","119","a1_8","k","k","539","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","120","a2_21","k","k","545","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","121","d4_20","j","j","463","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","122","a4_21","j","j","591","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","123","d2_29","k","k","643","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","124","c3_14","j","j","493","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","125","b1_28","k","k","751","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","126","b3_17","j","j","561","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","127","b4_30","j","j","475","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","128","a4_12","j","j","548","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","129","a2_17","k","k","484","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","130","d4_24","j","j","502","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","131","d3_29","j","j","427","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","132","a2_26","k","k","422","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","133","a4_25","j","j","516","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","134","a3_19","j","j","554","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","135","b2_15","j","k","464","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","136","c1_6","k","k","444","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","137","b3_29","j","j","903","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","138","b4_20","j","j","598","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","139","d4_2","j","j","501","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","140","b2_27","j","k","843","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","141","c1_15","k","k","482","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","142","a2_5","k","k","498","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","143","a1_24","k","k","480","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","144","a4_6","j","j","581","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","145","a1_30","k","k","592","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","146","a3_14","j","j","702","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","147","c3_29","j","j","585","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","148","b1_23","k","k","833","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","149","a1_29","k","k","611","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","150","d1_22","k","k","578","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","151","d1_2","k","k","521","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","152","c2_7","k","k","476","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","153","c4_30","j","j","550","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","154","d1_4","k","k","474","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","155","c3_6","j","j","567","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","156","b1_24","k","k","519","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","157","a1_28","k","k","461","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","158","d2_27","k","k","657","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","159","d4_1","j","j","538","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","160","c3_15","j","j","558","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","161","b1_13","k","k","565","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","162","b2_9","j","k","908","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","163","c1_10","k","k","694","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","164","c2_1","k","k","883","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","165","c4_25","j","j","561","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","166","a3_16","j","j","656","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","167","d2_8","k","k","666","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","168","c2_28","k","k","718","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","169","c4_11","j","j","503","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","170","b3_16","j","j","532","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","171","b4_14","j","j","572","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","172","d3_23","j","j","495","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","173","d3_24","j","j","515","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","174","d4_25","no response detected","j","0","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","175","a4_8","no response detected","j","0","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","176","d2_6","k","k","502","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","177","b2_22","k","k","634","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","178","c1_2","k","k","556","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","179","c2_10","k","k","624","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","180","c4_21","j","j","595","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","181","b3_25","j","j","519","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","182","b4_11","j","j","559","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","183","c3_12","j","j","511","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","184","b1_29","k","k","561","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","185","d3_5","j","j","783","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","186","d1_7","k","k","953","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","187","d2_9","k","k","786","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","188","b3_20","j","j","532","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","189","b4_6","j","j","461","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","190","a3_4","j","j","582","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","191","a2_24","k","k","485","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","192","a3_21","j","j","436","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","193","d2_11","k","k","510","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","194","d3_6","j","j","493","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","195","d4_15","j","j","684","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","196","a4_2","j","j","697","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","197","d1_27","k","k","979","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","198","c2_6","k","k","840","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","199","c4_14","j","j","549","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","200","a4_1","j","j","548","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","201","c3_21","j","j","720","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","202","b1_18","k","k","576","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","203","d1_30","k","k","713","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","204","a3_22","k","j","803","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","205","b2_18","no response detected","k","0","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","206","c1_1","k","k","504","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","207","d4_23","j","j","800","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","208","d3_18","j","j","542","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","209","b3_27","j","j","605","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","210","b4_17","j","j","609","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","211","d3_20","j","j","514","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","212","d2_4","k","k","625","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","213","d3_25","j","j","550","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","214","b3_6","j","j","484","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","215","b4_22","j","j","514","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","216","c2_19","k","k","536","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","217","c4_3","j","j","515","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","218","a1_13","k","k","548","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","219","a2_30","k","k","504","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","220","a1_15","k","k","434","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","221","c3_30","j","j","498","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","222","b1_16","k","k","537","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","223","b2_1","j","k","782","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","224","c1_24","k","k","606","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","225","a3_11","j","j","557","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","226","c2_11","k","k","503","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","227","c4_29","j","j","447","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","228","d4_9","j","j","508","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","229","b2_29","j","k","783","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","230","c1_4","k","k","506","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","231","a1_22","k","k","669","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","232","a1_26","k","k","536","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","233","a2_20","k","k","485","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","234","d1_15","j","k","734","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","235","d4_30","j","j","543","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","236","b3_3","j","j","567","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","237","b4_9","j","j","486","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","238","a2_16","k","k","496","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","239","a4_5","j","j","508","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","240","d2_12","k","k","691","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","241","c2_13","k","k","501","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","242","c4_19","j","j","491","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","243","c3_2","j","j","408","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","244","b1_17","k","k","447","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","245","b3_22","j","j","418","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","246","b4_16","j","j","474","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","247","b2_20","j","k","479","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","248","c1_16","k","k","459","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","249","d1_6","k","k","566","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","250","a4_19","j","j","720","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","251","a3_5","j","j","511","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","252","c3_13","k","j","447","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","253","b1_11","k","k","616","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","254","d2_23","k","k","590","1","","","","","","","","","","","","","",""
"encodePictures","encodePictures","255","a2_8","k","k","513","1","","","","","","","","","","","","","",""
"mathDistract","mathDistract","0","3 / 3","1","1","1812","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","1","41 - 37","4","4","2496","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","2","34 - 31","3","3","1590","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","3","61 - 59","2","2","1372","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","4","30 - 26","4","4","1453","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","5","39 - 37","2","2","879","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","6","25 / 25","1","1","814","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","7","48 - 46","2","2","842","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","8","10 - 7","3","3","907","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","9","53 / 53","1","1","618","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","10","32 - 29","3","3","1078","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","11","23 - 19","4","4","1185","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","12","15 / 5","3","3","1204","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","13","98 / 49","2","2","1394","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","14","17 / 17","1","1","936","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","15","9 - 8","2","1","1054","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","16","42 - 39","3","3","1025","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","17","40 / 20","2","2","1120","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","18","28 - 25","3","3","1048","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","19","51 - 50","1","1","890","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","20","11 - 8","3","3","1408","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","21","30 - 26","4","4","898","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","22","3 - 2","1","1","1060","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","23","56 - 52","4","4","1073","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","24","16 / 16","1","1","646","2","","","","","","","","","","","","","",""
"mathDistract","mathDistract","25","96 / 32","3","3","1108","2","","","","","","","","","","","","","",""
