"currSession","sessionStartTime","currTask","currTrial","stimulus","response","correctResponse","responseTime","round","type","predictType","sizeType","predictPair","pairCaType","pairSiType","picType","scrambleType","sessionEndTime","sessionNum","subject","expStartTime","expEndTime","intention","comments","pairsCombo","encodeSequence","fillerCombo","predictTestSequence","memoryTestSequence","cueCategories","targetCategories","withinCategories","crossCategories","fillerCategories","sameCategories","diffCategories"
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","11","2_4","2","2","937","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","12","1_5","1","1","780","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","13","2_1","1","2","1025","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","14","2_6","2","2","1305","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","15","1_2","1","1","713","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","0","2_4","2","2","1321","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","1","1_3","1","1","1149","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","2","2_1","2","2","1316","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","3","1_5","1","1","674","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","4","2_6","2","2","960","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","5","1_2","1","1","876","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","6","2_2","2","2","840","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","7","2_8","2","2","808","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","8","2_5","2","2","712","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","9","2_3","1","2","816","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","10","2_7","2","2","754","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","11","1_4","1","1","912","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","12","1_7","1","1","783","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","13","1_1","1","1","773","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","14","1_8","1","1","711","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","15","1_6","1","1","691","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","0","1_2","1","1","839","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","1","2_2","no response detected","2","0","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","2","2_7","2","2","824","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","3","2_5","2","2","941","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","4","2_4","2","2","766","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","5","2_1","1","2","945","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","6","2_3","1","2","787","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","7","1_5","1","1","736","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","8","1_1","1","1","815","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","9","1_4","1","1","758","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","10","1_7","1","1","792","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","11","1_8","1","1","876","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","12","1_6","1","1","759","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","13","1_3","1","1","803","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","14","2_6","2","2","923","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","15","2_8","2","2","911","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","0","2_1","no response detected","2","0","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","1","2_6","2","2","829","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","2","1_1","1","1","672","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","3","2_5","2","2","811","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","4","2_4","2","2","592","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","5","1_6","1","1","595","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","6","2_7","2","2","759","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","7","1_8","1","1","691","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","8","2_3","2","2","631","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","9","1_7","1","1","758","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","10","1_3","1","1","720","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","11","1_5","1","1","633","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","12","2_2","2","2","686","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","13","1_2","1","1","523","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","14","1_4","1","1","832","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","15","2_8","2","2","876","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","0","1_8","1","1","671","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","1","2_1","2","2","756","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","2","1_4","1","1","584","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","3","2_8","2","2","635","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","4","2_2","2","2","704","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","5","2_6","2","2","691","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","6","1_3","1","1","575","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","7","2_4","2","2","580","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","8","2_3","2","2","906","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","9","1_6","1","1","690","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","10","1_7","1","1","860","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","11","1_2","1","1","704","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","12","1_1","1","1","768","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","13","2_5","2","2","700","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","14","1_5","1","1","654","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice2","15","2_7","2","2","570","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","0","c1_8","1","1","862","","filler","NA","NA","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","1","c2_15","1","1","820","","filler","NA","NA","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","2","c4_5","no response detected","2","0","","filler","NA","NA","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","3","a1_5","1","1","703","","filler","NA","NA","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","4","d4_16","2","2","752","","cue","cross","diff","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","5","b2_7","1","1","760","","target","cross","diff","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","6","c4_14","2","2","959","","filler","NA","NA","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","7","a4_15","1","2","827","","filler","NA","NA","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
