"currSession","sessionStartTime","currTask","currTrial","stimulus","response","correctResponse","responseTime","round","type","predictType","sizeType","predictPair","pairCaType","pairSiType","picType","scrambleType","sessionEndTime","sessionNum","subject","expStartTime","expEndTime","intention","comments","pairsCombo","encodeSequence","fillerCombo","predictTestSequence","memoryTestSequence","cueCategories","targetCategories","withinCategories","crossCategories","fillerCategories","sameCategories","diffCategories"
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","0","1_2","1","1","2691","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","1","2_1","2","2","1579","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","2","1_3","1","1","1400","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","3","1_8","1","1","1359","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","4","2_4","2","2","2063","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","5","1_6","1","1","1331","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","6","2_7","2","2","1393","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","7","2_3","2","2","1273","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","8","2_5","2","2","1522","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","9","2_2","2","2","1208","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","10","1_1","1","1","1208","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","11","1_5","1","1","1072","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","12","1_7","1","1","1027","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","13","2_6","2","2","1141","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","14","1_4","1","1","2171","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","15","2_8","2","2","1150","1","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","0","2_7","2","2","746","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","1","2_6","2","2","730","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","2","2_1","2","2","760","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","3","1_6","1","1","781","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","4","1_7","1","1","914","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","5","2_8","2","2","829","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","6","1_4","1","1","695","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","7","2_2","2","2","856","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","8","1_2","1","1","1281","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","9","1_1","1","1","812","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","10","2_4","2","2","764","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","11","1_5","1","1","663","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","12","2_3","2","2","840","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","13","1_8","1","1","872","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","14","1_3","1","1","949","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","15","2_5","2","2","753","2","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","0","1_3","1","1","737","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","1","1_1","1","1","872","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","2","2_1","2","2","804","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","3","1_8","1","1","682","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","4","2_6","2","2","733","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","5","1_5","1","1","716","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","6","1_4","1","1","817","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","7","2_3","2","2","601","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","8","2_7","2","2","655","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","9","2_5","2","2","674","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","10","2_2","2","2","674","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","11","1_2","1","1","724","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","12","2_4","2","2","661","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-03-24T20:34:22.308Z""","practice1","13","2_8","2","2","686","3","","","","","","","","","","1","1","""2022-03-24T20:34:16.312Z""","""2022-03-24T21:31:26.671Z""","","","","","","","","","","","","","",""
