"currSession","sessionStartTime","currTask","currTrial","stimulus","response","correctResponse","responseTime","round","type","predictType","sizeType","predictPair","pairCaType","pairSiType","picType","scrambleType","sessionEndTime","sessionNum","subject","expVersion","expStartTime","expEndTime","intention","comments","pairsCombo","encodeSequence","fillerCombo","predictTestSequence","memoryTestSequence","cueCategories","targetCategories","withinCategories","crossCategories","fillerCategories","sameCategories","diffCategories"
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","0","1_3","1","1","1978","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","1","1_2","1","1","1757","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","2","1_1","1","1","1068","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","3","2_5","2","2","1255","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","4","2_4","2","2","1184","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","5","2_1","2","2","1054","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","6","1_6","1","1","1096","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","7","2_8","2","2","1061","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","8","2_6","2","2","898","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","9","2_3","2","2","961","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","10","1_4","1","1","844","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","11","2_2","2","2","952","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","12","1_7","1","1","808","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","13","1_5","1","1","1244","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","14","2_7","2","2","1552","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-14T22:50:57.311Z""","practice1","15","1_8","1","1","988","1","","","","","","","","","","1","2","3","""2022-04-14T22:50:46.713Z""","""2022-04-15T00:01:37.371Z""","","","","","","","","","","","","","",""
