"currSession","sessionStartTime","currTask","currTrial","stimulus","response","correctResponse","responseTime","round","type","predictType","sizeType","predictPair","pairCaType","pairSiType","picType","scrambleType","sessionEndTime","sessionNum","subject","expVersion","expStartTime","expEndTime","intention","comments","pairsCombo","encodeSequence","fillerCombo","predictTestSequence","memoryTestSequence","cueCategories","targetCategories","withinCategories","crossCategories","fillerCategories","sameCategories","diffCategories"
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","0","2_2","2","2","2891","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","1","2_5","1","2","6258","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","2","1_4","1","1","1541","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","3","1_1","1","1","1314","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","4","1_5","1","1","1627","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","5","2_7","2","2","1878","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","6","1_7","1","1","7201","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","7","1_8","1","1","3933","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","8","2_4","2","2","1189","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","9","2_3","2","2","1350","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","10","2_6","2","2","1105","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","11","2_1","2","2","1123","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","12","1_6","1","1","1573","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","13","2_8","2","2","1272","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","14","1_3","1","1","1167","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","15","1_2","1","1","994","1","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","0","2_7","2","2","2166","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","1","1_4","1","1","720","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","2","2_6","2","2","596","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","3","1_7","1","1","799","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","4","1_1","1","1","1120","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","5","1_6","1","1","794","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","6","2_8","1","2","1384","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","7","1_8","1","1","896","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","8","1_5","1","1","847","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","9","2_4","2","2","1043","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","10","2_5","2","2","1482","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","11","2_2","2","2","890","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","12","1_2","1","1","911","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","13","2_1","1","2","1130","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","14","1_3","1","1","744","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","15","2_3","2","2","1090","2","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-25T17:16:19.685Z""","practice1","0","2_8","2","2","945","3","","","","","","","","","","1","41","3","""2022-04-25T17:16:08.102Z""","""2022-04-25T18:29:02.447Z""","","","","","","","","","","","","","",""
