"currSession","sessionStartTime","currTask","currTrial","stimulus","response","correctResponse","responseTime","round","type","predictType","sizeType","predictPair","pairCaType","pairSiType","picType","scrambleType","sessionEndTime","sessionNum","subject","expVersion","expStartTime","expEndTime","intention","comments","pairsCombo","encodeSequence","fillerCombo","predictTestSequence","memoryTestSequence","cueCategories","targetCategories","withinCategories","crossCategories","fillerCategories","sameCategories","diffCategories"
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","0","2_4","2","2","1244","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","1","2_3","2","2","1136","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","2","2_2","2","2","948","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","3","2_6","2","2","882","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","4","2_8","2","2","824","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","5","2_7","2","2","823","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","6","1_4","1","1","799","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","7","1_1","1","1","759","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","8","1_5","1","1","800","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","9","1_3","1","1","788","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","10","1_8","1","1","996","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","11","1_6","1","1","732","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","12","2_1","2","2","967","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","13","2_5","2","2","929","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","14","1_7","1","1","1735","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-21T14:13:51.575Z""","practice1","15","1_2","1","1","770","1","","","","","","","","","","1","19","3","""2022-04-21T14:13:41.612Z""","""2022-04-21T15:13:18.769Z""","","","","","","","","","","","","","",""
