"currSession","sessionStartTime","currTask","currTrial","stimulus","response","correctResponse","responseTime","round","type","predictType","sizeType","predictPair","pairCaType","pairSiType","picType","scrambleType","sessionEndTime","sessionNum","subject","expVersion","expStartTime","expEndTime","intention","comments","pairsCombo","encodeSequence","fillerCombo","predictTestSequence","memoryTestSequence","cueCategories","targetCategories","withinCategories","crossCategories","fillerCategories","sameCategories","diffCategories"
"encodePictures","""2022-04-22T14:06:34.644Z""","practice1","0","2_4","2","2","1814","1","","","","","","","","","","1","28","3","""2022-04-22T14:06:29.654Z""","""2022-04-22T15:03:01.197Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T14:06:34.644Z""","practice1","1","2_2","2","2","1091","1","","","","","","","","","","1","28","3","""2022-04-22T14:06:29.654Z""","""2022-04-22T15:03:01.197Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T14:06:34.644Z""","practice1","2","1_8","1","1","1118","1","","","","","","","","","","1","28","3","""2022-04-22T14:06:29.654Z""","""2022-04-22T15:03:01.197Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T14:06:34.644Z""","practice1","3","1_1","1","1","949","1","","","","","","","","","","1","28","3","""2022-04-22T14:06:29.654Z""","""2022-04-22T15:03:01.197Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T14:06:34.644Z""","practice1","4","1_4","1","1","952","1","","","","","","","","","","1","28","3","""2022-04-22T14:06:29.654Z""","""2022-04-22T15:03:01.197Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T14:06:34.644Z""","practice1","5","1_5","1","1","826","1","","","","","","","","","","1","28","3","""2022-04-22T14:06:29.654Z""","""2022-04-22T15:03:01.197Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T14:06:34.644Z""","practice1","6","1_7","1","1","933","1","","","","","","","","","","1","28","3","""2022-04-22T14:06:29.654Z""","""2022-04-22T15:03:01.197Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T14:06:34.644Z""","practice1","7","2_7","2","2","1265","1","","","","","","","","","","1","28","3","""2022-04-22T14:06:29.654Z""","""2022-04-22T15:03:01.197Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T14:06:34.644Z""","practice1","8","2_3","2","2","1231","1","","","","","","","","","","1","28","3","""2022-04-22T14:06:29.654Z""","""2022-04-22T15:03:01.197Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T14:06:34.644Z""","practice1","9","2_6","2","2","1317","1","","","","","","","","","","1","28","3","""2022-04-22T14:06:29.654Z""","""2022-04-22T15:03:01.197Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T14:06:34.644Z""","practice1","10","2_1","2","2","1263","1","","","","","","","","","","1","28","3","""2022-04-22T14:06:29.654Z""","""2022-04-22T15:03:01.197Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T14:06:34.644Z""","practice1","11","2_8","2","2","1189","1","","","","","","","","","","1","28","3","""2022-04-22T14:06:29.654Z""","""2022-04-22T15:03:01.197Z""","","","","","","","","","","","","","",""
